F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Rewe;4;ordentlich und sauber, manchmal etwas teuer
Rewe;5;Beim Aufpacken könnte etwas besser mit Obst und Gemüse umgegangen werden
Andere;3;es gibt fast alles zu kaufen, allerdings sind manchmal auch ganz normale produkte nicht zu bekommen und die angebotsprodukte sind nach den ersten tagen auch nicht mehr zu bekommen
Kaufland;4;Sämtliche Artikel die ich brauche vorhanden
Kaufland;5;freundliche Mitarbeiter sauberes Geschäft meistens alles vorrätig
Edeka;5;weil es so ist
Amazon;2;Keine ahnung
Aldi Süd;5;sauber, freundliches Personal
Lidl;5;Dort habe ich alles was ich brauche
Aldi Nord;5;neu gebaut, sehR gute und auch frische Auswahl
Netto (Rot);4;Bekomme alles was ich brauche
Penny;5;großes Angebot, freundliche Mitarbeiter
Lidl;4;GUte auswahl zum guten preis
Rewe;4;Da sie nur 200 Meter entfernt ist.
Edeka;5;gute Qualität
Rewe;5;Neueröffnung bei uns
Rewe;4;In der Nähe und alles vorhanden für meinen persönlichen Gebrauch
Rewe;2;gut
Penny;4;Teilweise unordentlich
Netto (Rot);3;günstig
Rewe;5;x
Edeka;5;sehr gut alles
Rewe;5;Preis/Leistung, Nähe
Aldi Süd;5;ich habe alle meine gewünschten Produkte bekommen
Lidl;5;Der Pfandflaschenautomat ist schlecht und es könnte mehr Abwechslung im Sortiment geben.
Rewe;5;Übersichtlich gestaltet. Dort macht der Einkauf Spaß.
Edeka;4;Sehr nah , freundliche Mitarbeiter gutes Sortiment
Edeka;4;Grosses Angebot,preis-leistung ist gut, freundliche und kompetente mitarbeiter
Aldi Süd;5;Immer frische Ware, sehr freundliches Personal
Andere;5;mir gefällt es da
Netto (Rot);5;Insgesamt nur positive Erfahrungen
Rewe;5;Man fühlt sich willkommen.
Lidl;4;Normalerweise finde ich alles, was ich brauche
Netto (Rot);4;alles okay - bis auf Salat und Gemüse
Edeka;5;Ich bekomme dort alles, was ich mir wünsche.
Netto (Rot);4;hdfhf
Aldi Süd;4;Freundlich, hell, sauber, ordentlich,
Kaufland;5;ich finde dort fast alles was ich benötige zu sehr günstigen preisen
Aldi Süd;3;könnte hochwertigeres Fleisch verkaufen.Mehr für die Tierhaltung machen.Mehr reginale Sachen verkaufen.
Edeka;3;Nichts weiter auszuführen....
Aldi Süd;4;finde ich ganz gut
Aldi Süd;5;5
Rewe;4;Ich bekomme alles was ich brauche in frischer Qualität
Netto (Rot);5;Ist unmittelbar erreichbar, Auswahl nok
Lidl;5;ich bin zu frieden
Aldi Süd;4;sehr gepflegt, ausreichend mit freundl. Personal ausgestattet schöne Werbeflyer, hat alles, was man braucht nur für einige Saaten (SB-, Kürbiskerne usw.) muss ich zu DM. -
Edeka;4;alles da,alle freundlich
Edeka;3;Keine angabe
Edeka;3;Könnte etwas größer und mit mehr Auswahl sein, aber ansonsten alles super. Breitere Gänge wären schön (Kinderwagen).
Famila;5;Famila bietet alles an, was ich brauche
Rewe;5;so aus erfahrung zu sehen
Lidl;5;weil die fileale sauber und aufgeraeumt ist, woechentlich andere angebote hat. das personal freundlich ist
Netto (Rot);5;weil wir sehr gerne dort einkaufen, es ist sauber, freundlich, man bekommt alles
Rewe;3;zu unübersichtlich
Aldi Nord;3;weiß nicht
Aldi Süd;4;Bis auf wenige Ausnahmen immer sämtliche Produkte verfügbar.
Penny;4;bekomme fast alles, was ich brauche
Lidl;1;Große Auswahl an Produkten, freundliches Personal, überwiegend gute Preise
Edeka;5;sehr gutes geschäft
Rewe;4;besser geht immer
Lidl;4;I weis nicht
Kaufland;4;günstig
Rewe;4;schnell erreichbar
Lidl;5;Alles da, alles sehr gute, nettes Team!
Aldi Nord;5;neues geschäft
Aldi Süd;5;gosses angebot an waren
Edeka;4;alles gut sortiert
Penny;5;man kann super einkaufen
Edeka;5;gut sortiert und in der nähe
Netto (Rot);5;Ich kaufe dort gern ein. Die Waren sind vorrätig und ich weiß, wo ich sie finde.
Aldi Nord;4;freundliches Personal
Edeka;3;Ost und Gemüse ist nicht immer in einem guten Zustand, das ich es kaufen würde
Lidl;4;das sortiment wird oft umplaziert
Tegut;5;bekomme alles
Aldi Nord;4;Manche Dinge sind unlogisch / unübersichtlich sortiert, Aktionsware oft nur in unzureichenden Mengen vorhanden.
Edeka;4;Es wird auf Regionalität geachtet, es gibt viele Bio Produkte aber Verpackungen könnten noch reduziert werden.
Lidl;4;Dort finde ich fast alles was ich brauche zu einem günstigen Preis
Netto (Rot);5;Es ist sauber und ordentlich, das Personal ist freundlich.
Kaufland;4;Zuverlässigkeit
Kaufland;5;ich bekomme dort eigentlich alles, was ich so brauche
Rewe;5;ist ein sauberes und freundliches geschäft
Kaufland;5;preis-leistung passt,tolle sonderangebote
Lidl;4;Produkte sind frisch, die Auswahl ist groß, die Mitarbeiter sind freundlich und hilfsbereit
Lidl;5;immer zufrieden
Aldi Süd;4;sauber, freundliches personal gute ware
Edeka;4;Sie geben sich viel Mühe, sind freundlich und aufmerksam.
Netto (Rot);5;Es gibtfast alles fürdentäglichenGebrauch.freundliche Mitarbeiterund das Sortimentist uberschaubar.
Norma;3;Ok
Real;3;gutes angebote
Penny;3;Zu wenig Käse Zwiebel Brötchen immer im sb
Famila;4;passt alles
Aldi Süd;4;weil ich gerne dort einkaufe
Kaufland;5;Bekommt alles, gut und günstig
Netto (Rot);4;Ist manchmal nicht so gut aufgeräumt und das Obst und Gemüse scheint nicht immer ganz frisch zu sein.
Aldi Nord;3;Derzeit schlechte Qualität. Schimmel.
Lidl;5;immer alles frisch
Lidl;4;Abgepacktes Toast ist öfters nur noch 2 Tage haltbar
Lidl;4;Gut
Real;4;es gibt meistens alles was ich benötige
Rewe;4;Sauberer Markt, übersichtliche Regale, freundliches Personal
Aldi Süd;5;Gutes Sortiment freundliches Personal
Netto (Schwarz);4;Günstig
Rewe;5;nette Leute, da länger Kunden gut bekannt.
Lidl;5;Die Verkäufer sind hilfsbereit, es gibt immer gute Angebote, das Obst ist immer OK
Norma;5;ich bin voll zufrieden mit den Waren von der Norma, und alles sehr günstig
Edeka;3;gibts fast alles
Lidl;5;Sehr gute Qualität an Obst und Gemüse, nette Mitarbeiter, man findet sich im Laden gut zurecht
Real;4;alles an einem Ort,frischund gut angeboten
Rewe;1;freundliches Personal
Lidl;5;Sauber, übersichtlich, große Produktauswahl, freundliches & hilfsbereites Personal, kurze Kassenwartezeiten, ausreichende Parkplätze
Lidl;4;Passt alles ganz gut
Netto (Rot);3;gggggggg
Penny;5;Gutes Brot und ostdeutsche Produkte
Netto (Rot);5;Kurze Weg, alles vorhanden was man braucht
Edeka;5;Hat bisher immer alles bestens geklappt und gutes Personal
Edeka;5;Gute Auswahl, übersichtliche Filiale, freundliche Bedienung, gute und preiswerte Eigenmarkenqualitäten(G&G)
Rewe;4;Alles ok
Aldi Süd;3;Durchschnittliche Zufriedenheit
Lidl;5;die Gemüseabteilung ist immer frisch sortiert und das ganze Geschäft mach einen sehr sauberen Eindruck. Man findet alles dort.
Kaufland;5;alles bestens
Kaufland;5;Gute Auswahl
Kaufland;5;Ich bekomme dort gute Qualität für einen guten Preis
Lidl;4;Alles da, was ich brauche.
Rewe;4;Hat alles
Kaufland;4;Keine
Edeka;5;Fast Alles vorhanden, freundliche Bedienung
Lidl;4;Freundliches Personal Sauber,gut zu erreichen
Edeka;1;Preisangaben unzuverlässig
Real;4;gute Auswahl an regionalen Produkten
Edeka;4;Gut du irtiert
Edeka;5;Edeka ist für mich fusslaeufig zu erreichen und bietet ein gut geordnetes ,vielfältiges Sortiment.Vorallem die Frische des Obstes und des Gemüses ist hervorragend
Lidl;5;ordentlich, sauber und freundlich
Rewe;1;es ist vieles aus und viele Marken gibts nicht mehr, Rewe drangsaliert die Kunden. Obst und Gemüse schmecken nicht und zu teuer, Fleisch ist igitt....
Kaufland;4;Günstig, übersichtlicj sauber
Netto (Rot);5;Weil es Cool ist
Rewe;4;hier kann ich alles bekommen, was ich haben möchte
Penny;4;Das personal ist immeram Rennen, trotzdem nett und freundlich, aber offenbar völlig überlastet.
Real;5;Ich bin sehr zufrieden bei Real, Bestelle immer Online und wird mir nachhause geliefert
Edeka;5;Kurzer Weg,Freundlichkeit und Hilfsbereitschaft,egal wo und bei welcher Situation.
Edeka;4;Ich bekomme die Lebensmittel und sonstige Gegenstände, die wir für den tägl. Gebraucht benötigen.
Aldi Nord;4;hat keinen Bestimmten Grund
Kaufland;5;Die Filalie ist nur um 2 Ecken und ich bekomme bis auf meine persönliche Lippenstifte alles bei Kifland. Kleidung kaufe ich in der Stadt bei Schwager.
Edeka;5;Erfahrung
Lidl;5;Sehr gutes Angebot,sauber,freundliches Personal
Kaufland;4;Passt alles
Kaufland;5;großes Angebot, frisches Obst und Gemüse
Aldi Süd;5;Alles zum zu.Bedarf vorhanden
Lidl;5;sauber, hell, groß, breites angebot
Aldi Süd;4;Ist toll
Edeka;5;In der Edeka-Filiale ist ein Fleischgeschäft angesiedelt.Alles sauber und übersichtlich.
Netto (Rot);5;frisches obst und gemüse-brot und backwaren-wurst und fleischangebot ist günstig
Edeka;5;Personal ist freundlich und kompetent, sehr gute Sonderangebote, saubere Filiale
Lidl;5;Modern eingerichtet, gutes Sortiment, vernünftige Preise
Netto (Rot);5;Sauber und ordentlich,
Edeka;4;Einigermaße gute Preise, kann alles fast alles dort kaufen
Andere;4;manchmal einseitiges Angebot, wenig neue Produkte
Netto (Schwarz);5;alles ok, pris stimmt auch
Netto (Rot);5;da gibt's alles was ich brauche
Lidl;4;freundliche Mitarbeiter, übersichtliche Filiale,
Aldi Süd;5;Schöne Filiale. Wenig Zeit zum Anstehen.
Aldi Nord;5;freundlich günstig
Netto (Rot);1;Es gibt alles was ich brauche
Lidl;4;In meiner Filiale sehr freundliches Personal
Aldi Nord;5;Alles OK!
Kaufland;4;große Produktauswahl
Edeka;5;Nettes Verkaufspersonal
Aldi Nord;5;modernisiert, liegt auf dem Nachhauseweg
Rewe;4;weiß nicht
Lidl;4;Bekomme das was ich benötige und das zu guten preisen
Aldi Süd;4;meistens ausreichend ware in guter qualität
Edeka;4;nein
Kaufland;4;große auswahl,
Kaufland;4;ist immer alles ok
Edeka;4;Gute Frische, grosse Auswahl
Netto (Rot);5;es ist alles übersichtlich angeordnet
Rewe;5;Tolle Einkaufsatmosphäre
Kaufland;4;zufrieden
Aldi Süd;5;Sauber, sehr nettes Personal, fast immer alles vorhanden, preiswert und einfach nur super
Netto (Rot);3;die vielen Präsenzlücken treiben mich immer wieder in den Wahnsinn.......
Netto (Rot);4;Meist das was ich brauche ist da
Netto (Schwarz);4;Naher Einkauf und guter Preis
Kaufland;5;alles ist ausreichend vorhanden
Netto (Rot);4;ich bekomme fast alles für den Einkauf
Aldi Süd;5;Das meiste da was ich täglich benötige
Andere;4;Das Personal ist sehr freundlich und bietet stets kundenorientierten Service an. Die Atmosphäre im Laden ist sehr angenehm und stressfrei. An den Kassen hat man die Möglichkeit ohne Druck seine Einkäufe in Wagen einzuräumen. Das Personal an den Bedientheken geht auf induviduelle Kundenwünsche immer freundlich ein. Da fühle ich mich wohl beim Einkaufen.
Edeka;4;..............
Edeka;4;gut sortiert und freundliches Personal
Norma;3;Gut erreichbar. Gutes Angebot. Günstige Preise
Edeka;4;gutes aber nicht vollständiges Sortiment
Edeka;4;ist gut
Aldi Süd;4;Gibts es meiste wo ich brauche
Edeka;5;Da gibt es fast alles, was man so braucht. Der Laden ist ein Erlebnis. Das Personal kennt sich bestens aus und ist sehr hilfsbereit
Aldi Nord;5;Qualität ist gut
Aldi Süd;3;die Qualität stimmt nicht immer überein
Edeka;5;Edeka bietet günstige und frische Waren an
Kaufland;3;gut
Edeka;4;qualitat
Aldi Nord;4;Die Preise sind preiwert Günstig und man kann sehr vieles dort finden
Denn's;3;Obst und Gemüse nicht immer frisch
Lidl;4;gutes personal
Lidl;4;gute qualitaet
Rewe;5;ich bekomme dort alles, was ich möchte, in angemessener Qualität
Netto (Rot);2;Nicht modernisiert
Rewe;5;Bekomme alles was ich möchte
Aldi Süd;5;Preisgünstig, Lebensmittel geschmackvoll, Obst und Gemüse frisch
Kaufland;1;seit umbau zu unübersichtlich und es werden immer weniger Produkte angeboten
Rewe;4;Sehr sauber und aufgeräumt, jedoch öfters Produkte aus dem Angebotsbereich nicht mehr vorhanden.
Kaufland;5;sehr übersichtlich und ein sehr freundliches Personal
Netto (Rot);2;trotz Neueröffnung alles zu unorganisiertt, zu wenig Personl (1:1), deswegen nicht aufgefüllte Regale
Edeka;5;Auswahl, Frische
Rewe;5;Warum begründen - zufrieden heißt zufrieden
Aldi Süd;4;Preiswert und gur
Edeka;5;Edeka bietet Lebensmittel und andere Produkte zu attraktiven Preisen.
Penny;5;Warenferfügbarkeit ist gut, Personal ist freundlich, meistens sehr sauber
Lidl;4;Ein großes Warenangebot, günstige Preise
Rewe;5;Das Personal ist immer freundlich und hilfsbereit. Es gibt eine geringe Fluktuation und in der Filiale scheint ein hervorragendes Betriebsklima zu herrschen.
Kaufland;5;preiswert, gute auswahl, fussnah
Penny;5;Ich weiß wo was liegt
Rewe;5;Rewe ist ok..
Edeka;5;Die Filiale ist perfekt
Rewe;4;weil ich hier alles ruckzuck finde, es immer sauber und ordentlich ist, alle angevotsprodukte immer vorhanden sind
Netto (Rot);5;gutes Angebot, sonderangebote, frische der waren
Rewe;4;manchmal sind Produkte vergriffen(Getränke,Gewürze usw.)
Aldi Süd;5;Großes Sortiment, sauber,ordentlich
Aldi Süd;4;Alles frisch kann meinen Bedarf abdecken
Aldi Süd;3;Oft sind die gewünschten produckte aus
Aldi Nord;5;haben alles was ich brauche
Kaufland;5;alles vorhanden
Rewe;3;Zuviel Verpackte Ware
Penny;4;Preisleistung
Lidl;4;Gut erreichbar, übersichtlich
Aldi Nord;5;In der Regel alles, was ich suche vorhanden, aufgeräumt, sauber
Rewe;4;Mitarbeiter teils unfreundlich
Rewe;4;Alles gut
Penny;5;saubere filiale, freundliche verkäufer, schneller einkauf, ausreichend parkplätze, bäcker und metzger in unmittelbarer umgebung
Rewe;4;alles ok
Edeka;5;Sehr ordentliche und hilfsbereite Mitarbeiter
Edeka;4;sehr hilfsbereite mitarbeiter
Rewe;5;Passt alles
Kaufland;4;gute Präsentation der Waren, Ordnung und Sauberkeit gewährleistet
Kaufland;4;hat alles, was ich brauche
Edeka;5;Gute Consumer Experience
Edeka;5;Sie ist mit kurzen Weg erreichbar und hat einen ausreichendes Sortiment
Edeka;4;x
Rewe;5;Gute Ware
Kaufland;4;nach der Neugestaltung der verkaufsfläche für mich kein logischer Auffbau
Budnikowsky;5;sehr freundliche Mitarbeiter, alles vorrätig und sauber
Lidl;4;Immer sauber und freundliche Mitarbeiter
Rewe;4;?
Aldi Nord;3;Alles immer vorrätig
Norma;2;geringe Auswahl
Aldi Nord;5;Gutes Sortiment Schneller Einkauf
Edeka;4;Sauber,freundliches Personal
Lidl;4;Haben immer mehr vegane Produkte im Sortiment besondere Weine fehlen
Edeka;4;Große Auswahl und einigermaßen preiswert
Norma;5;Stätig wechselnde Angebote,Markenartikel zu sehr guten Preisen, Artikelvielfalt, frisches und regionales Obst und Gemüse, extrem schnelle und freundliche Kräfte/Bedienungen/Kassiererinnen/Kassierer.
Kaufland;5;hier gibt es eine große Auswahl und es ist immer mal was im Angebot
Edeka;3;Keine Angabe
Aldi Süd;5;Gutes Preis-Leistungsverhältnis
Rossmann;5;Sauber tolle angebote
Andere;5;hier bekomme ich fast alles zur Ernährung regional und/oder in Bioqualität.
Kaufland;4;einige produkte wurden aus dem sortiment genommen
Andere;5;gut zu erreichen
Edeka;5;nette Mitarbeiter
Kaufland;5;Saubere Filiale, nahgelegen, gute Auswahl
Lidl;4;viele freie Parkplätze, freundliches Personal, gutes Angebot
Lidl;5;super frisches Obst und Gemüse sauber und ordentlich
Penny;5;Top Auswahl günstig modern und Qualität
Penny;4;alles in ordnung
Netto (Rot);4;In der Nähe gute Parkmöglichkeit
Kaufland;4;Preiskampf mit Lieferanten führen manchmal zu Lieferengpässen
Rewe;5;klar übersichtlich alles in einem laden
Rewe;5;Ordentlich und sauber und freundliches Personal
Penny;4;Geht
Penny;5;Dies ist eine moderne Filiale, mit gut ausgebildeten Mitarbeitern und gutem Service, die Mitarbeiter gehen auf die Wünsche der Kunden ein, sind hilfsbereit. Es gibt immer sorgfältig gestaltete Regale, es fehlt an nichts.
Aldi Süd;4;Bietet alles, was ich benötige zu einem guten Preis.
Netto (Rot);3;Ist so
Lidl;5;Eine große Filiale. Alles sauber
Kaufland;4;Günstig gelegen Große Auswahl
Rewe;4;Gut gelegen , finde alles was ich brauche
Globus;5;Sauberes Geschäft. Freundliches Personal.
Rewe;5;Übersichtlich, Sauber , Gute Obst und Gemüse Präsentation , Qualität der Waren in Ordnung
Edeka;5;gut sortiert
Lidl;5;Bekomme dort alles was ich brauche zu einem günstigen Preis.
Real;4;Bin mit dem Sortiment zufrieden , nur das Personal könnte hin und wieder etwas freundlicher sein.
Lidl;4;Es ist alles da, was ich benötige.
Aldi Süd;4;ich finde die Ware supper
Edeka;5;Alles passt gut
Lidl;3;Sauberkeit
Edeka;5;erstklassig
Edeka;3;Ich mag die Filiale sehr gerne, weil die Ware schön aufbereitet ist und gerade Obst, Gemüse und Käsetheke super sind. Die Auswahl ist allerdings insgesamt nicht so groß, wie ich mir wünschen würde, und es gibt nur einen einzigen Pfandautomaten, der leider oft kaputt ist.
Rewe;4;Größe Auswahl. Sauber. Nette bedienung
Netto (Rot);3;Besonders in den ersten 1 1/2 Stunden nach Öffnung sind noch nichtballe Regale aufgefüllt, Waren ausgepackt und es wird noch die Filiale gesübert. Das empfinde ich als negativ.
Lidl;3;-
Netto (Rot);4;Einfach gut
Edeka;5;gute qualität der waren, besonders bei obst
Edeka;3;Nicht immer ist Obst und Gemüse frisch! Desweiteren lässt das Personal zu wünschen übrig!
Kaufland;5;Gut
Aldi Süd;4;Ruhig gelegen, sauber und ordentlich. Wir gut gepflegt und ist übersichtlich. Das Personal ist freundlich und hilfsbereit
Rewe;4;Große Auswahl, oft günstige Angebote, einigermaßen gute Preise
Edeka;4;Gutes Ambiente, große Auswahl
Lidl;4;Alles gut
Edeka;4;ordentlich und aufgeräumt
Aldi Süd;4;Haben alles was ich für meine Ernährung brauche
Lidl;5;Gute Parkmöglichkeiten, sehr gute Preise, reichliche Auswahl, freundliches Personal, gute Qualität, geringe Wartezeiten an der Kasse
Kaufland;4;nettes Personal, Toiletten vorhanden, Produkte überwiegend vorrätig
Aldi Süd;5;Weil ich da eine gute Übersicht habe
Klaas+Kock;2;Oft wirkt Sie nicht sauber
Rewe;3;aufgrund von Umbauarbeiten findet man nichts mehr und es gibt kein gutes Fleich mehr
Penny;5;sind alle nette da
Rewe;5;alles da was ich benötige
Netto (Rot);5;gutes einkaufserlebniss
Tegut;5;Hier gibt es alles was ich suche und immer in einer sehr guten Qualität! Wurst und Fleischwaren kaufen wir bei tegut nur von Landprimus da weis ich wo es her kommt.
Netto (Rot);5;Eine ganze Zeit waren die Regale immer leer und wurde nicht aufgefüllt. seitdem die Filiale umgebaut wurde ist wieder alles in Ordnung.
Edeka;5;nettes personal. gute preise. alles frisch
Real;5;alles gut verfügbar
Lidl;3;Mir wird zu oft umgeräumt. Ich habe keine Lust meine freie Zeit mit Suche nach den von mir benötigten Teilen bei Lidl zu verbringen. Bei mehr Konstanz würde ich mehr dort kaufen.
Penny;3;Öfters Produkte nicht im Regal
Rewe;4;Rewe Dortmund bietet ein gutes Sortiment mit vielen hochwertigen Bio-Produkten.
Lidl;5;Dort finde ich immer wasich brauch für einen günstigen Preis und ich bin den Produkten sehr zufrieen
Rewe;5;Freundliche Mitarbeiter und ich bekomme alles aus einer Hand.
Rewe;4;Die Fi­li­a­le ist ziemlich nah und hat fast alles, was ich täglich brauche.
Rewe;5;Sehr viel Auswahl
Kaufland;5;weil alles passt
Edeka;5;Frische Ware
Rewe;4;Die Mitarbeiter wurden teilweise schlecht eingearbeitet und können somit nicht alle Fragen beantworten.
Edeka;4;Im Allgemeinen bin ich sehr zufrieden aber manchmal sind mir die Gänge zu voll gestellt.
Kaufland;5;Große Auswahl an Produkten und guter Service.
Rewe;4;Ich bekomme alles was ich brauche und mag. Das Personal ist sehr freundlich und hilfsbereit
Edeka;4;Sehr sortiert und sauber
Penny;4;Gut zu erreichen. Günstige Preise.
Combi;3;In anderen Märkten gibt es seit neuestem viel mehr basic-Bioprodukte, und auch sonst mehr Bioprodukte, in meinem leider noch nicht, da würde ich mir mehr und eine langfristig ökologischere Ausrichtung des Marktes wünschen.
Edeka;4;sehr gute Fleischabteilung,frisches Obst u. Gemüse, sehr freundliches Personal
Rewe;3;Weil es nichts zu bemängeln gibt
Aldi Nord;4;Ich kann dort alle Dinge für den täglichen Bedarf schnell finden und sie sind im Verhältnis zu anderen Läden günstig
Edeka;5;Hat alles, was ich brauche
Rewe;4;Bietet regionale frische Produkte
Aldi Nord;4;Gutes Preis/Leistung Verhältnis
Aldi Nord;5;ist gut
Netto (Rot);4;Alles vorhanden was ich brauche
Rewe;4;k.a.
Lidl;4;liegt in der Nähe, immer frisches Obst und Gemüse zu guten Preisen
Rewe;4;Angehneme Atmosphäre,nettes Personal und ein tolles Sortiment an Lebensmitteln.
Netto (Rot);4;Eigentlich alles okay, manchmal etwas unordentlich
Netto (Rot);5;preiswert
Rewe;4;ist nah und günstig
Kaufland;3;viele produkte sind nicht verfügbar
Lidl;5;Die Mitarbeiter sind freundlich, die Filiale ist sehr sauber, ich kann kostenlos parken und kann den Laden auch mit dem Fahrrad erreichen
Lidl;3;teilweise stark erhöhte Preise.
Real;4;nah
Edeka;5;die filiale liegt günstig für mich, ist sehr gut sortiert, ist sauber, die bedienung ist sehr freundlich
Real;5;großes sortiment
Penny;4;Gute Preise, gute Auswahl
Tegut;4;Nah gelegen, bietet alles notwendige was man zum Leben braucht
Kaufland;2;irgendwelche produkte, die eigentlich da sein sollten, fehlen immer wieder
Kaufland;5;Man erhält eigentlich alles was was man benötigt in eine gut konzipierten markt
Aldi Süd;5;dazu braucht es keine begründung
Edeka;5;Große Auswahl  Sauber
Kaufland;4;gerade neu gestaltet
Netto (Rot);4;-
Aldi Süd;2;Sauber, frisches obst gemüse, nicht so viel leute
Kaufland;5;Gute Qualität
Lidl;4;Meistens alle Produkte vorhanden, keine lange Wartezeiten an der Kasse,
Lidl;5;sehr sauber und gut sortiert
Aldi Süd;5;Vor ca 6 Monaten umgebaut. Danach Super
Kaufland;5;Weil es dort fast alles gibt und man nicht in mehrere Läden muss. Ausserdem supergrosser Parkplatz vorhanden
Rewe;1;teuer und schlechtes, inkompetentes personal
Aldi Süd;2;Schlechte Mitarbeiter
Kaufland;5;modern und alles vorhanden
Aldi Süd;4;meistens alles da
Netto (Rot);4;freundliches Personal
Edeka;3;Oft sehr teurer
Penny;4;ich kann dort meinen Bedarf fast komplett decken
Rewe;5;Sauber, aufgeräumt, super Fleischtheke und Shushi Bar. Modern und Neu.
Netto (Rot);3;Prospekt Angebote nicht ausgepackt
Rewe;3;hat oft die angebote nicht
Edeka;1;Alle sind sehr freundlich, bekomme alles was ich brauche
Kaufland;5;Es besteht ein sehr umfangreiches Angebot, alle Preisklassen sind vertreten. Es existiert auch eine Bedien-theke beim Wurst- und Fleischangebot.
Rewe;4;Es ist fast alles da, was man braucht
Lidl;4;Gutes Angebot
Lidl;3;Viel zu wenig Obst und Gemüse ohne Plastikverpackung im Angebot
Kaufland;4;große Auswahl, faire Preise
Edeka;4;Großes Sortiment, Frische Lebensmittel, Eigenmarken sind sehr gut
Rewe;4;toll00es Personal,große Auswahl
Rewe;5;Alles sauber, höfliches Personal
Edeka;5;immer gute Auswahl
Lidl;5;Hat die meisten Artikel für den täglichen Gebrauch. Ansprechendes Preis-Leistungs-Verhältnis.
Netto (Rot);4;Gute Waren, aber manchmal nicht vorrätig. Manchmal verdorbene Wurstwaren im Regal
Netto (Rot);2;bn vj
Lidl;5;Bekomme alles
Rewe;5;Freundliches Personal, günstige Angebote,-regionale Angebote,-immer frisch und appetitlich
Aldi Nord;5;es ist alles übersichtlich Mitarbeiter sehr freundlich
Edeka;4;?
Rewe;5;Es ist eine moderne, übersichtlicher Filiale mit freundlichen Mitarbeitern
Rewe;4;große Auswahl, viele Angebote, freundliches Personal
Rewe;3;-
Netto (Rot);3;es ist etwas schmuddelig dort und das Personal ist unfreundlich
Penny;4;preiswert und viele Produkte
Lidl;5;habe keine Probleme mit der Filiale
Kaufland;3;Zu gross zu viele Umbauten gewesen vorher war ich da besser orientiert nun muss ich viel rumsuchen
Kaufland;3;empfinde die Saueberkeit und Ordnung als manchmal als mangelhaft
Rewe;5;Ist freundlichen
Kaufland;4;Einige Regale oft mittags bereits leer.
Lidl;5;Sehr freundliches Personal
Aldi Süd;4;Ich mag die Auswahl und die Produkte, preisgünstig, schmeckt gut, Grundnahrungsmittel gute Auswahl, nur leider etwas chaotisch der Laden und meist zu wenig Mitarbeiter
Rewe;5;Hat ein so großes Sortiment das ich meinen ganzen Einkauf dort erledigen kann.
Aldi Süd;5;Günstig, nah , immer frisch
Edeka;4;ist so
Edeka;4;---------------
Hit;5;Sehr vertraut, sehr gutes Angebot
Rewe;3;die cola die gerne trinke ist selten da
Netto (Rot);3;ist in meiner Nähe, leider sind Montags nicht alle Regale gefüllt
Edeka;5;gut erreichbar
Andere;5;alles verfügbar zu guten Preisen
Kaufland;5;dort finde ich eben alles
Rewe;4;Auswahl ist gut, fast immer alles vorrätig, meist gute preise
